"","rollcall_id","decision_summary","decision_date","rollcall_subject","session_id","legislator_id","legislator_name","legislator_state","legislator_party","legislator_vote","number_bill","year_bill","ano"
"1","MPV-897-2019-1","Aprovado, em apreciacao preliminar, o Parecer da Comissao Mista, na parte em que manifesta opiniao favoravel quanto ao atendimento dos pressupostos constitucionais de relevancia e urgencia e de sua adequacao financeira e orcamentaria, nos termos do artigo 8º da Resolucao nº 01, de 2002-CN. Sim 293; nao 2; total 295.","11/2/2020","PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...","17038","141417","Edio Lopes","RR","PL","Sim","897","2019",2020
"2","MPV-897-2019-1","Aprovado, em apreciacao preliminar, o Parecer da Comissao Mista, na parte em que manifesta opiniao favoravel quanto ao atendimento dos pressupostos constitucionais de relevancia e urgencia e de sua adequacao financeira e orcamentaria, nos termos do artigo 8º da Resolucao nº 01, de 2002-CN. Sim 293; nao 2; total 295.","11/2/2020","PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...","17038","204465","Haroldo Cathedral","RR","PSD",NA,"897","2019",2020
"3","MPV-897-2019-1","Aprovado, em apreciacao preliminar, o Parecer da Comissao Mista, na parte em que manifesta opiniao favoravel quanto ao atendimento dos pressupostos constitucionais de relevancia e urgencia e de sua adequacao financeira e orcamentaria, nos termos do artigo 8º da Resolucao nº 01, de 2002-CN. Sim 293; nao 2; total 295.","11/2/2020","PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...","17038","178959","Hiran Goncalves","RR","PP",NA,"897","2019",2020
"4","MPV-897-2019-1","Aprovado, em apreciacao preliminar, o Parecer da Comissao Mista, na parte em que manifesta opiniao favoravel quanto ao atendimento dos pressupostos constitucionais de relevancia e urgencia e de sua adequacao financeira e orcamentaria, nos termos do artigo 8º da Resolucao nº 01, de 2002-CN. Sim 293; nao 2; total 295.","11/2/2020","PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...","17038","160531","Jhonatan de Jesus","RR","REPUBLICAN",NA,"897","2019",2020
"5","MPV-897-2019-1","Aprovado, em apreciacao preliminar, o Parecer da Comissao Mista, na parte em que manifesta opiniao favoravel quanto ao atendimento dos pressupostos constitucionais de relevancia e urgencia e de sua adequacao financeira e orcamentaria, nos termos do artigo 8º da Resolucao nº 01, de 2002-CN. Sim 293; nao 2; total 295.","11/2/2020","PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...","17038","204468","Joenia Wapichana","RR","REDE","Sim","897","2019",2020
"6","MPV-897-2019-1","Aprovado, em apreciacao preliminar, o Parecer da Comissao Mista, na parte em que manifesta opiniao favoravel quanto ao atendimento dos pressupostos constitucionais de relevancia e urgencia e de sua adequacao financeira e orcamentaria, nos termos do artigo 8º da Resolucao nº 01, de 2002-CN. Sim 293; nao 2; total 295.","11/2/2020","PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...","17038","204479","Nicoletti","RR","PSL","Sim","897","2019",2020
"7","MPV-897-2019-1","Aprovado, em apreciacao preliminar, o Parecer da Comissao Mista, na parte em que manifesta opiniao favoravel quanto ao atendimento dos pressupostos constitucionais de relevancia e urgencia e de sua adequacao financeira e orcamentaria, nos termos do artigo 8º da Resolucao nº 01, de 2002-CN. Sim 293; nao 2; total 295.","11/2/2020","PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...","17038","204475","Otaci Nascimento","RR","Solidaried","Sim","897","2019",2020
"8","MPV-897-2019-1","Aprovado, em apreciacao preliminar, o Parecer da Comissao Mista, na parte em que manifesta opiniao favoravel quanto ao atendimento dos pressupostos constitucionais de relevancia e urgencia e de sua adequacao financeira e orcamentaria, nos termos do artigo 8º da Resolucao nº 01, de 2002-CN. Sim 293; nao 2; total 295.","11/2/2020","PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...","17038","178961","Sheridan","RR","PSDB","Sim","897","2019",2020
"9","MPV-897-2019-1","Aprovado, em apreciacao preliminar, o Parecer da Comissao Mista, na parte em que manifesta opiniao favoravel quanto ao atendimento dos pressupostos constitucionais de relevancia e urgencia e de sua adequacao financeira e orcamentaria, nos termos do artigo 8º da Resolucao nº 01, de 2002-CN. Sim 293; nao 2; total 295.","11/2/2020","PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...","17038","204379","Acacio Favacho","AP","PROS","Sim","897","2019",2020
"10","MPV-897-2019-1","Aprovado, em apreciacao preliminar, o Parecer da Comissao Mista, na parte em que manifesta opiniao favoravel quanto ao atendimento dos pressupostos constitucionais de relevancia e urgencia e de sua adequacao financeira e orcamentaria, nos termos do artigo 8º da Resolucao nº 01, de 2002-CN. Sim 293; nao 2; total 295.","11/2/2020","PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...","17038","204353","Aline Gurgel","AP","REPUBLICAN",NA,"897","2019",2020
